,forest,hdi,inflation,infant_mortality,gdp,gni,population,unemployment,country_id
forest,1.0,0.35882275495315097,0.8877549092257636,-0.2578832137430089,0.26626667063527937,0.31247282038808455,0.8160466020499152,0.16067895680169153,101.0
forest,,,,,,,,,33.0
forest,1.0,-0.3642091582451337,-0.5699711259619493,0.36473397061345164,-0.3680912874094986,-0.37711125399255213,-0.5118980717665272,0.7658143231313265,89.0
forest,1.0,-0.3347841558278362,-0.49076424022673665,0.5509853284927969,0.24744477523488798,0.24950473426893602,0.3027868163996369,0.06645102925042502,196.0
forest,1.0,0.020886912845458946,,0.923362820879811,0.26248704727031413,0.17867180739275523,-0.20591152311757,-0.8073820596674163,68.0
forest,1.0,-0.357953591325882,-0.6406898896998948,-0.2614371799489609,-0.1642428567264603,-0.21641207811922195,-0.7189503331818783,0.544477087863196,151.0
forest,,,,,,,,,168.0
forest,1.0,-0.5611767604573261,-0.6954452580597839,0.7328678966687566,-0.1925873757958123,-0.3154332680004851,0.24614695510038126,-0.18425557224017902,180.0
forest,1.0,-0.369740587133942,-0.33489266680550855,0.7613787993656974,-0.3697945251492413,-0.529959430144625,-0.9769682444473718,0.09203467716643585,71.0
forest,1.0,0.09900755090770044,0.39806818933100613,-0.49517116717572063,-0.10445382755028111,-0.09560656092845846,0.37925721419237163,0.13137044203694362,102.0
forest,1.0,0.028105071549110183,-0.3083290014402688,-0.14700739274133615,0.15828508506570887,0.3000174128585599,-0.45826580860064553,-0.2627344413073776,1.0
forest,1.0,0.7347874058171167,0.7592688328807045,-0.7165947611413997,0.6228471352098501,0.5941711082954169,0.8353554881678676,0.8149132371423091,90.0
forest,1.0,-0.12333176656770305,-0.4369202196616024,-0.2893311538135381,0.01847677146739979,0.10617873523880599,0.5496293896327198,-0.08825632578482592,181.0
forest,1.0,0.6374187307189236,-0.5682837439833605,-0.5929208908596976,-0.1674428506366622,-0.18917700153756148,-0.6879539885762118,0.26411202954360524,39.0
forest,1.0,-0.25437975866179713,-0.25786740430286437,0.8433045684166085,-0.11366560438664877,-0.15038414216655355,-0.5432881015193182,0.7580884672659373,224.0
forest,1.0,-0.1982715440803031,-0.401657953075173,0.7391770013409645,0.27061436850487003,0.23883457253664642,-0.6318886499679673,-0.44510371313717534,183.0
forest,1.0,-0.600739684464424,-0.48657591016075,0.918814679551094,-0.12894783823074077,-0.1795929849963876,-0.328736531193857,-0.51835449271594,211.0
forest,1.0,-0.3394898584256662,0.01039094332547652,0.5940756359219975,-0.00030750699538182534,0.010239164650736711,-0.3363699404657553,-0.7990108321139121,36.0
